Λήμμα (Lemma),POS,Drill_Type,Front,Back
αποτρέπω,Verb,Active Participle,αποτρέπω (Active Participle),έχοντας αποτρέψει
αποτυπώνω,Verb,Passive Participle,αποτυπώνω (Passive Participle),αποτυπωμένος
αποτυπώνω,Verb,Active Participle,αποτυπώνω (Active Participle),έχοντας αποτυπώσει
αποτυχία,Noun,Plural,αποτυχία (Plural),αποτυχίες
αποτυχία,Noun,Genitive Singular,αποτυχία (Genitive Singular),αποτυχίας
απουσία,Noun,Plural,απουσία (Plural),απουσίες
απουσία,Noun,Genitive Singular,απουσία (Genitive Singular),απουσίας
αποφασίζω,Verb,Active Participle,αποφασίζω (Active Participle),έχοντας αποφασίσει
αποφασιστικός,Adjective,Feminine,αποφασιστικός (Feminine),αποφασιστική
αποφασιστικός,Adjective,Neuter,αποφασιστικός (Neuter),αποφασιστικό
αποφασιστικότητα,Noun,Genitive Singular,αποφασιστικότητα (Genitive Singular),αποφασιστικότητας
αποφεύγω,Verb,Active Participle,αποφεύγω (Active Participle),έχοντας αποφύγει
αποφοιτώ,Verb,Active Participle,αποφοιτώ (Active Participle),έχοντας αποφοιτήσει
αποφυγή,Noun,Genitive Singular,αποφυγή (Genitive Singular),αποφυγής
αποχέτευση,Noun,Plural,αποχέτευση (Plural),αποχετεύσεις
αποχέτευση,Noun,Genitive Singular,αποχέτευση (Genitive Singular),αποχέτευσης
αποχή,Noun,Plural,αποχή (Plural),αποχές
αποχή,Noun,Genitive Singular,αποχή (Genitive Singular),αποχής
αποχαιρετισμός,Noun,Plural,αποχαιρετισμός (Plural),αποχαιρετισμοί
αποχαιρετισμός,Noun,Genitive Singular,αποχαιρετισμός (Genitive Singular),αποχαιρετισμού
αποχαιρετώ,Verb,Passive Participle,αποχαιρετώ (Passive Participle),αποχαιρετημένος
αποχωρητήριο,Noun,Plural,αποχωρητήριο (Plural),αποχωρητήρια
αποχωρητήριο,Noun,Genitive Singular,αποχωρητήριο (Genitive Singular),αποχωρητήριου
αποχωρώ,Verb,Active Participle,αποχωρώ (Active Participle),έχοντας αποχωρήσει
αποχώρηση,Noun,Plural,αποχώρηση (Plural),αποχωρήσεις
αποχώρηση,Noun,Genitive Singular,αποχώρηση (Genitive Singular),αποχώρησης
απρόβλεπτος,Adjective,Feminine,απρόβλεπτος (Feminine),απρόβλεπτη
απρόβλεπτος,Adjective,Neuter,απρόβλεπτος (Neuter),απρόβλεπτο
απρόθυμος,Adjective,Feminine,απρόθυμος (Feminine),απρόθυμη
απρόθυμος,Adjective,Neuter,απρόθυμος (Neuter),απρόθυμο
απρόοπτος,Adjective,Feminine,απρόοπτος (Feminine),απρόοπτη
απρόοπτος,Adjective,Neuter,απρόοπτος (Neuter),απρόοπτο
απρόσμενος,Adjective,Feminine,απρόσμενος (Feminine),απρόσμενη
απρόσμενος,Adjective,Neuter,απρόσμενος (Neuter),απρόσμενο
απωθώ,Verb,Passive Participle,απωθώ (Passive Participle),απωθημένος
απωθώ,Verb,Active Participle,απωθώ (Active Participle),έχοντας απωθήσει
απόβλητα,Noun,Plural,απόβλητα (Plural),απόβλητα
απόγευμα,Noun,Plural,απόγευμα (Plural),απογεύματα
απόγευμα,Noun,Genitive Singular,απόγευμα (Genitive Singular),απογεύματος
απόγονος,Noun,Plural,απόγονος (Plural),απόγονοι
απόγονος,Noun,Genitive Singular,απόγονος (Genitive Singular),απογόνου
απόδειξη,Noun,Plural,απόδειξη (Plural),αποδείξεις
απόδειξη,Noun,Genitive Singular,απόδειξη (Genitive Singular),απόδειξης
απόδοση,Noun,Plural,απόδοση (Plural),αποδόσεις
απόδοση,Noun,Genitive Singular,απόδοση (Genitive Singular),απόδοσης
απόδραση,Noun,Plural,απόδραση (Plural),αποδράσεις
απόδραση,Noun,Genitive Singular,απόδραση (Genitive Singular),απόδρασης
απόθεμα,Noun,Plural,απόθεμα (Plural),αποθέματα
απόθεμα,Noun,Genitive Singular,απόθεμα (Genitive Singular),αποθέματος
απόκλιση,Noun,Plural,απόκλιση (Plural),αγιογράφοι
απόκλιση,Noun,Genitive Singular,απόκλιση (Genitive Singular),αγιογράφου
απόκομμα,Noun,Plural,απόκομμα (Plural),αποκόμματα
απόκομμα,Noun,Genitive Singular,απόκομμα (Genitive Singular),αποκόμματος
απόκρημνος,Adjective,Feminine,απόκρημνος (Feminine),απόκρημνη
απόκρημνος,Adjective,Neuter,απόκρημνος (Neuter),απόκρημνο
απόκριση,Noun,Plural,απόκριση (Plural),αποκρίσεις
απόκριση,Noun,Genitive Singular,απόκριση (Genitive Singular),απόκρισης
απόκρυψη,Noun,Plural,απόκρυψη (Plural),αποκρύψεις
απόκρυψη,Noun,Genitive Singular,απόκρυψη (Genitive Singular),απόκρυψης
απόκτηση,Noun,Plural,απόκτηση (Plural),αποκτήσεις
απόκτηση,Noun,Genitive Singular,απόκτηση (Genitive Singular),απόκτησης
απόλαυση,Noun,Plural,απόλαυση (Plural),απολαύσεις
απόλαυση,Noun,Genitive Singular,απόλαυση (Genitive Singular),απόλαυσης
απόλυση,Noun,Plural,απόλυση (Plural),απολύσεις
απόλυση,Noun,Genitive Singular,απόλυση (Genitive Singular),απόλυσης
απόλυτος,Adjective,Feminine,απόλυτος (Feminine),απόλυτη
απόλυτος,Adjective,Neuter,απόλυτος (Neuter),απόλυτο
απόμακρος,Adjective,Feminine,απόμακρος (Feminine),απόμακρη
απόμακρος,Adjective,Neuter,απόμακρος (Neuter),απόμακρο
απόπειρα,Noun,Plural,απόπειρα (Plural),απόπειρες
απόπειρα,Noun,Genitive Singular,απόπειρα (Genitive Singular),απόπειρας
απόρρητος,Adjective,Feminine,απόρρητος (Feminine),απόρρητη
απόρρητος,Adjective,Neuter,απόρρητος (Neuter),απόρρητο
απόρριψη,Noun,Plural,απόρριψη (Plural),απορρίψεις
απόρριψη,Noun,Genitive Singular,απόρριψη (Genitive Singular),απόρριψης
απόσπασμα,Noun,Plural,απόσπασμα (Plural),αποσπάσματα
απόσπασμα,Noun,Genitive Singular,απόσπασμα (Genitive Singular),αποσπάσματος
απόσταση,Noun,Plural,απόσταση (Plural),αποστάσεις
απόσταση,Noun,Genitive Singular,απόσταση (Genitive Singular),απόστασης
απόστολος,Noun,Plural,απόστολος (Plural),απόστολοι
απόστολος,Noun,Genitive Singular,απόστολος (Genitive Singular),αποστόλου
απότομος,Adjective,Feminine,απότομος (Feminine),απότομη
απότομος,Adjective,Neuter,απότομος (Neuter),απότομο
απόφαση,Noun,Plural,απόφαση (Plural),αποφάσεις
απόφαση,Noun,Genitive Singular,απόφαση (Genitive Singular),απόφασης
απόφοιτος,Noun,Plural,απόφοιτος (Plural),απόφοιτοι
απόφοιτος,Noun,Genitive Singular,απόφοιτος (Genitive Singular),αποφοίτου
απόχρωση,Noun,Plural,απόχρωση (Plural),αποχρώσεις
απόχρωση,Noun,Genitive Singular,απόχρωση (Genitive Singular),απόχρωσης
απώλεια,Noun,Plural,απώλεια (Plural),απώλειες
απώλεια,Noun,Genitive Singular,απώλεια (Genitive Singular),απώλειας
απών,Adjective,Feminine,απών (Feminine),απούσα
απών,Adjective,Neuter,απών (Neuter),απόν
απών,Noun,Plural,απών (Plural),απόντες
απών,Noun,Genitive Singular,απών (Genitive Singular),απόντος
αράχνη,Noun,Plural,αράχνη (Plural),αράχνες
αράχνη,Noun,Genitive Singular,αράχνη (Genitive Singular),αράχνης
αρένα,Noun,Plural,αρένα (Plural),αρένες
αρένα,Noun,Genitive Singular,αρένα (Genitive Singular),αρένας
αρέσω,Verb,Active Participle,αρέσω (Active Participle),έχοντας αρέσει
αραβικός,Adjective,Feminine,αραβικός (Feminine),αραβική
αραβικός,Adjective,Neuter,αραβικός (Neuter),αραβικό
αργία,Noun,Plural,αργία (Plural),αργίες
αργία,Noun,Genitive Singular,αργία (Genitive Singular),αργίας
αργοπορώ,Verb,Passive Participle,αργοπορώ (Passive Participle),αργοπορημένος
αργός,Adjective,Feminine,αργός (Feminine),αργή
αργός,Adjective,Neuter,αργός (Neuter),αργό
αργώ,Verb,Active Participle,αργώ (Active Participle),έχοντας αργήσει
αρετή,Noun,Plural,αρετή (Plural),αρετές
αρετή,Noun,Genitive Singular,αρετή (Genitive Singular),αρετής
αρθρώνω,Verb,Passive Participle,αρθρώνω (Passive Participle),αρθρωμένος
αριθμητική,Noun,Plural,αριθμητική (Plural),αριθμητικές
αριθμητική,Noun,Genitive Singular,αριθμητική (Genitive Singular),αριθμητικής
αριθμητικός,Adjective,Feminine,αριθμητικός (Feminine),αριθμητική
αριθμητικός,Adjective,Neuter,αριθμητικός (Neuter),αριθμητικό
αριθμός,Noun,Plural,αριθμός (Plural),αριθμοί
αριθμός,Noun,Genitive Singular,αριθμός (Genitive Singular),αριθμού
αριστερά,Noun,Genitive Singular,αριστερά (Genitive Singular),αριστεράς
αριστερός,Adjective,Feminine,αριστερός (Feminine),αριστερά
αριστερός,Adjective,Neuter,αριστερός (Neuter),αριστερό
αριστοκράτης,Noun,Plural,αριστοκράτης (Plural),αριστοκράτες
αριστοκράτης,Noun,Genitive Singular,αριστοκράτης (Genitive Singular),αριστοκράτη
αριστούργημα,Noun,Plural,αριστούργημα (Plural),αριστουργήματα
αριστούργημα,Noun,Genitive Singular,αριστούργημα (Genitive Singular),αριστουργήματος
αρκετός,Adjective,Feminine,αρκετός (Feminine),αρκετή
αρκετός,Adjective,Neuter,αρκετός (Neuter),αρκετό
αρκούδα,Noun,Plural,αρκούδα (Plural),αρκούδες
αρκούδα,Noun,Genitive Singular,αρκούδα (Genitive Singular),αρκούδας
αρκώ,Verb,Active Participle,αρκώ (Active Participle),έχοντας αρκέσει
αρμοδιότητα,Noun,Plural,αρμοδιότητα (Plural),αρμοδιότητες
αρμοδιότητα,Noun,Genitive Singular,αρμοδιότητα (Genitive Singular),αρμοδιότητας
αρμονία,Noun,Plural,αρμονία (Plural),αρμονίες
αρμονία,Noun,Genitive Singular,αρμονία (Genitive Singular),αρμονίας
αρμονικός,Adjective,Feminine,αρμονικός (Feminine),αρμονική
αρμονικός,Adjective,Neuter,αρμονικός (Neuter),αρμονικό
αρμόδιος,Adjective,Feminine,αρμόδιος (Feminine),αρμόδια
αρμόδιος,Adjective,Neuter,αρμόδιος (Neuter),αρμόδιο
αρμόδιος,Noun,Plural,αρμόδιος (Plural),αρμόδιοι
αρμόδιος,Noun,Genitive Singular,αρμόδιος (Genitive Singular),αρμοδίου
αρμόζω,Verb,Passive Participle,αρμόζω (Passive Participle),αρμοσμένος
αρνί,Noun,Plural,αρνί (Plural),αρνιά
αρνί,Noun,Genitive Singular,αρνί (Genitive Singular),αρνιού
αρνητικός,Adjective,Feminine,αρνητικός (Feminine),αρνητική
αρνητικός,Adjective,Neuter,αρνητικός (Neuter),αρνητικό
αρουραίος,Noun,Plural,αρουραίος (Plural),αρουραίοι
αρουραίος,Noun,Genitive Singular,αρουραίος (Genitive Singular),αρουραίου
αρπάζω,Verb,Active Participle,αρπάζω (Active Participle),έχοντας αρπάξει
αρπακτικός,Adjective,Feminine,αρπακτικός (Feminine),αρπακτική
αρπακτικός,Adjective,Neuter,αρπακτικός (Neuter),αρπακτικό
αρραβωνιαστικιά,Noun,Plural,αρραβωνιαστικιά (Plural),αρραβωνιαστικιές
αρραβωνιαστικιά,Noun,Genitive Singular,αρραβωνιαστικιά (Genitive Singular),αρραβωνιαστικιάς
αρραβωνιαστικός,Noun,Plural,αρραβωνιαστικός (Plural),αρραβωνιαστικοί
αρραβωνιαστικός,Noun,Genitive Singular,αρραβωνιαστικός (Genitive Singular),αρραβωνιαστικού
αρρωσταίνω,Verb,Passive Participle,αρρωσταίνω (Passive Participle),‑ο
αρρωσταίνω,Verb,Active Participle,αρρωσταίνω (Active Participle),έχοντας αρρωστήσει
αρρώστια,Noun,Plural,αρρώστια (Plural),αρρώστιες
αρρώστια,Noun,Genitive Singular,αρρώστια (Genitive Singular),αρρώστιας
αρσενικό,Noun,Genitive Singular,αρσενικό (Genitive Singular),αρσενικού
αρσενικός,Adjective,Feminine,αρσενικός (Feminine),αρσενικιά
αρσενικός,Adjective,Neuter,αρσενικός (Neuter),αρσενικό
αρχάριος,Adjective,Feminine,αρχάριος (Feminine),αρχάρια
αρχάριος,Adjective,Neuter,αρχάριος (Neuter),αρχάριο
αρχή,Noun,Plural,αρχή (Plural),αρχές
αρχή,Noun,Genitive Singular,αρχή (Genitive Singular),αρχής
αρχίζω,Verb,Active Participle,αρχίζω (Active Participle),έχοντας αρχίσει
αρχαίος,Adjective,Feminine,αρχαίος (Feminine),αρχαία
αρχαίος,Adjective,Neuter,αρχαίος (Neuter),αρχαίο
αρχαιολογικός,Adjective,Feminine,αρχαιολογικός (Feminine),αρχαιολογική
αρχαιολογικός,Adjective,Neuter,αρχαιολογικός (Neuter),αρχαιολογικό
αρχαιολόγος,Noun,Plural,αρχαιολόγος (Plural),αρχαιολόγοι
αρχαιολόγος,Noun,Genitive Singular,αρχαιολόγος (Genitive Singular),αρχαιολόγου
αρχαιότητα,Noun,Plural,αρχαιότητα (Plural),αρχαιότητες
αρχαιότητα,Noun,Genitive Singular,αρχαιότητα (Genitive Singular),αρχαιότητας
αρχείο,Noun,Plural,αρχείο (Plural),αρχεία
αρχείο,Noun,Genitive Singular,αρχείο (Genitive Singular),αρχείου
αρχηγός,Noun,Plural,αρχηγός (Plural),αρχηγοί
αρχηγός,Noun,Genitive Singular,αρχηγός (Genitive Singular),αρχηγού
αρχιεπίσκοπος,Noun,Plural,αρχιεπίσκοπος (Plural),αρχιεπίσκοποι
αρχιεπίσκοπος,Noun,Genitive Singular,αρχιεπίσκοπος (Genitive Singular),αρχιεπισκόπου
αρχικά,Noun,Plural,αρχικά (Plural),αρχικά
αρχικός,Adjective,Feminine,αρχικός (Feminine),αρχική
αρχικός,Adjective,Neuter,αρχικός (Neuter),αρχικό
αρχιπέλαγος,Noun,Plural,αρχιπέλαγος (Plural),αρχιπελάγη
αρχιπέλαγος,Noun,Genitive Singular,αρχιπέλαγος (Genitive Singular),αρχιπελάγους
αρχισυντάκτης,Noun,Plural,αρχισυντάκτης (Plural),αρχισυντάκτες
αρχισυντάκτης,Noun,Genitive Singular,αρχισυντάκτης (Genitive Singular),αρχισυντάκτη
αρχιτέκτονας,Noun,Plural,αρχιτέκτονας (Plural),αρχιτέκτονες
αρχιτέκτονας,Noun,Genitive Singular,αρχιτέκτονας (Genitive Singular),αρχιτέκτονα
αρχιτεκτονική,Noun,Plural,αρχιτεκτονική (Plural),αρχιτεκτονικές
αρχιτεκτονική,Noun,Genitive Singular,αρχιτεκτονική (Genitive Singular),αρχιτεκτονικής
αρχιτεκτονικός,Adjective,Feminine,αρχιτεκτονικός (Feminine),αρχιτεκτονική
αρχιτεκτονικός,Adjective,Neuter,αρχιτεκτονικός (Neuter),αρχιτεκτονικό
αρωματικός,Adjective,Feminine,αρωματικός (Feminine),αρωματική
αρωματικός,Adjective,Neuter,αρωματικός (Neuter),αρωματικό
ασήμαντος,Adjective,Feminine,ασήμαντος (Feminine),ασήμαντη
ασήμαντος,Adjective,Neuter,ασήμαντος (Neuter),ασήμαντο
ασήμι,Noun,Plural,ασήμι (Plural),ασήμια
ασήμι,Noun,Genitive Singular,ασήμι (Genitive Singular),ασημιού
ασβέστιο,Noun,Plural,ασβέστιο (Plural),ασβέστια
ασβέστιο,Noun,Genitive Singular,ασβέστιο (Genitive Singular),ασβέστιου
ασημένιος,Adjective,Feminine,ασημένιος (Feminine),ασημένια
ασημένιος,Adjective,Neuter,ασημένιος (Neuter),ασημένιο
ασθένεια,Noun,Plural,ασθένεια (Plural),ασθένειες
ασθένεια,Noun,Genitive Singular,ασθένεια (Genitive Singular),ασθένειας
ασθενής,Adjective,Feminine,ασθενής (Feminine),ασθενής
ασθενής,Adjective,Neuter,ασθενής (Neuter),ασθενές
ασθενής,Noun,Plural,ασθενής (Plural),ασθενείς
ασθενής,Noun,Genitive Singular,ασθενής (Genitive Singular),ασθενούς
ασθενώ,Verb,Active Participle,ασθενώ (Active Participle),έχοντας ασθενήσει
ασιατικός,Adjective,Feminine,ασιατικός (Feminine),ασιατική
ασιατικός,Adjective,Neuter,ασιατικός (Neuter),ασιατικό
ασκούμαι,Verb,Passive Participle,ασκούμαι (Passive Participle),ασκημένος
ασκώ,Verb,Passive Participle,ασκώ (Passive Participle),ασκημένος
ασκώ,Verb,Active Participle,ασκώ (Active Participle),έχοντας ασκήσει
ασπίδα,Noun,Plural,ασπίδα (Plural),ασπίδες
ασπίδα,Noun,Genitive Singular,ασπίδα (Genitive Singular),ασπίδας
αστέρας,Noun,Plural,αστέρας (Plural),αστέρες
αστέρας,Noun,Genitive Singular,αστέρας (Genitive Singular),αστέρα
αστέρι,Noun,Plural,αστέρι (Plural),αστέρια
αστέρι,Noun,Genitive Singular,αστέρι (Genitive Singular),αστεριού
αστείο,Noun,Plural,αστείο (Plural),αστεία
αστείο,Noun,Genitive Singular,αστείο (Genitive Singular),αστείου
αστείος,Adjective,Feminine,αστείος (Feminine),αστεία
αστείος,Adjective,Neuter,αστείος (Neuter),αστείο
αστικός,Adjective,Feminine,αστικός (Feminine),αστική
αστικός,Adjective,Neuter,αστικός (Neuter),αστικό
αστράγαλος,Noun,Plural,αστράγαλος (Plural),αστράγαλοι
αστράγαλος,Noun,Genitive Singular,αστράγαλος (Genitive Singular),αστραγάλου
αστραπή,Noun,Plural,αστραπή (Plural),αστραπές
αστραπή,Noun,Genitive Singular,αστραπή (Genitive Singular),αστραπής
αστυνομία,Noun,Plural,αστυνομία (Plural),αστυνομίες
αστυνομία,Noun,Genitive Singular,αστυνομία (Genitive Singular),αστυνομίας
αστός,Noun,Plural,αστός (Plural),αστοί
αστός,Noun,Genitive Singular,αστός (Genitive Singular),αστού
ασυμβίβαστος,Adjective,Feminine,ασυμβίβαστος (Feminine),ασυμβίβαστη
ασυμβίβαστος,Adjective,Neuter,ασυμβίβαστος (Neuter),ασυμβίβαστο
ασυνήθιστος,Adjective,Feminine,ασυνήθιστος (Feminine),ασυνήθιστη
ασυνήθιστος,Adjective,Neuter,ασυνήθιστος (Neuter),ασυνήθιστο
ασφάλεια,Noun,Plural,ασφάλεια (Plural),ασφάλειες
ασφάλεια,Noun,Genitive Singular,ασφάλεια (Genitive Singular),ασφάλειας
ασφάλιση,Noun,Plural,ασφάλιση (Plural),ασφαλίσεις
ασφάλιση,Noun,Genitive Singular,ασφάλιση (Genitive Singular),ασφάλισης
ασφαλής,Adjective,Feminine,ασφαλής (Feminine),ασφαλής
ασφαλής,Adjective,Neuter,ασφαλής (Neuter),ασφαλές
ασφαλίζω,Verb,Passive Participle,ασφαλίζω (Passive Participle),ασφαλισμένος
ασφαλίζω,Verb,Active Participle,ασφαλίζω (Active Participle),έχοντας ασφαλίσει
ασφαλιστικός,Adjective,Feminine,ασφαλιστικός (Feminine),ασφαλιστική
ασφαλιστικός,Adjective,Neuter,ασφαλιστικός (Neuter),ασφαλιστικό
ασφυκτικός,Adjective,Feminine,ασφυκτικός (Feminine),ασφυκτική
ασφυκτικός,Adjective,Neuter,ασφυκτικός (Neuter),ασφυκτικό
ασύρματος,Adjective,Feminine,ασύρματος (Feminine),ασύρματη
ασύρματος,Adjective,Neuter,ασύρματος (Neuter),ασύρματο
ασύρματος,Noun,Plural,ασύρματος (Plural),ασύρματοι
ασύρματος,Noun,Genitive Singular,ασύρματος (Genitive Singular),ασυρμάτου
ατέλεια,Noun,Plural,ατέλεια (Plural),ατέλειες
ατέλεια,Noun,Genitive Singular,ατέλεια (Genitive Singular),ατέλειας
ατελείωτος,Adjective,Feminine,ατελείωτος (Feminine),ατελείωτη
ατελείωτος,Adjective,Neuter,ατελείωτος (Neuter),ατελείωτο
ατζέντα,Noun,Plural,ατζέντα (Plural),ατζέντες
ατζέντα,Noun,Genitive Singular,ατζέντα (Genitive Singular),ατζέντας
ατμοσφαιρικός,Adjective,Feminine,ατμοσφαιρικός (Feminine),ατμοσφαιρική
ατμοσφαιρικός,Adjective,Neuter,ατμοσφαιρικός (Neuter),ατμοσφαιρικό
ατμός,Noun,Plural,ατμός (Plural),ατμοί
ατμός,Noun,Genitive Singular,ατμός (Genitive Singular),ατμού
ατμόσφαιρα,Noun,Plural,ατμόσφαιρα (Plural),ατμόσφαιρες
ατμόσφαιρα,Noun,Genitive Singular,ατμόσφαιρα (Genitive Singular),ατμόσφαιρας
ατομικός,Adjective,Feminine,ατομικός (Feminine),ατομική
ατομικός,Adjective,Neuter,ατομικός (Neuter),ατομικό
ατσάλι,Noun,Plural,ατσάλι (Plural),ατσάλια
ατσάλι,Noun,Genitive Singular,ατσάλι (Genitive Singular),ατσαλιού
ατσαλένιος,Adjective,Feminine,ατσαλένιος (Feminine),ατσαλένια
ατσαλένιος,Adjective,Neuter,ατσαλένιος (Neuter),ατσαλένιο
ατυχία,Noun,Plural,ατυχία (Plural),ατυχίες
ατυχία,Noun,Genitive Singular,ατυχία (Genitive Singular),ατυχίας
ατύχημα,Noun,Plural,ατύχημα (Plural),ατυχήματα
ατύχημα,Noun,Genitive Singular,ατύχημα (Genitive Singular),ατυχήματος
αυγή,Noun,Plural,αυγή (Plural),αυγές
αυγή,Noun,Genitive Singular,αυγή (Genitive Singular),αυγής
αυθάδης,Adjective,Feminine,αυθάδης (Feminine),αυθάδης
αυθάδης,Adjective,Neuter,αυθάδης (Neuter),αυθάδες
αυθαίρετος,Adjective,Feminine,αυθαίρετος (Feminine),αυθαίρετη
αυθαίρετος,Adjective,Neuter,αυθαίρετος (Neuter),αυθαίρετο
αυθεντικός,Adjective,Feminine,αυθεντικός (Feminine),αυθεντική
αυθεντικός,Adjective,Neuter,αυθεντικός (Neuter),αυθεντικό
αυθόρμητος,Adjective,Feminine,αυθόρμητος (Feminine),αυθόρμητη
αυθόρμητος,Adjective,Neuter,αυθόρμητος (Neuter),αυθόρμητο
αυλή,Noun,Plural,αυλή (Plural),αυλές
αυλή,Noun,Genitive Singular,αυλή (Genitive Singular),αυλής
αυξάνω,Verb,Passive Participle,αυξάνω (Passive Participle),αυξημένος
αυξάνω,Verb,Active Participle,αυξάνω (Active Participle),έχοντας αυξήσει
αυριανός,Adjective,Feminine,αυριανός (Feminine),αυριανή
αυριανός,Adjective,Neuter,αυριανός (Neuter),αυριανό
αυστηρός,Adjective,Feminine,αυστηρός (Feminine),αυστηρά
αυστηρός,Adjective,Neuter,αυστηρός (Neuter),αυστηρό
αυστραλιανός,Adjective,Feminine,αυστραλιανός (Feminine),αυστραλιανή
αυστραλιανός,Adjective,Neuter,αυστραλιανός (Neuter),αυστραλιανό
αυταπάτη,Noun,Plural,αυταπάτη (Plural),αυταπάτες
αυταπάτη,Noun,Genitive Singular,αυταπάτη (Genitive Singular),αυταπάτης
αυταρχικός,Adjective,Feminine,αυταρχικός (Feminine),αυταρχική
αυταρχικός,Adjective,Neuter,αυταρχικός (Neuter),αυταρχικό
αυτοκίνητο,Noun,Plural,αυτοκίνητο (Plural),αυτοκίνητα
αυτοκίνητο,Noun,Genitive Singular,αυτοκίνητο (Genitive Singular),αυτοκίνητου
αυτοκινητιστικός,Adjective,Feminine,αυτοκινητιστικός (Feminine),αυτοκινητιστική
αυτοκινητιστικός,Adjective,Neuter,αυτοκινητιστικός (Neuter),αυτοκινητιστικό
αυτοκινητόδρομος,Noun,Plural,αυτοκινητόδρομος (Plural),αυτοκινητόδρομοι
αυτοκινητόδρομος,Noun,Genitive Singular,αυτοκινητόδρομος (Genitive Singular),αυτοκινητοδρόμου
αυτοκράτορας,Noun,Plural,αυτοκράτορας (Plural),αυτοκράτορες
αυτοκράτορας,Noun,Genitive Singular,αυτοκράτορας (Genitive Singular),αυτοκράτορα
αυτοκρατορία,Noun,Plural,αυτοκρατορία (Plural),αυτοκρατορίες
αυτοκρατορία,Noun,Genitive Singular,αυτοκρατορία (Genitive Singular),αυτοκρατορίας
αυτοκτονία,Noun,Plural,αυτοκτονία (Plural),αυτοκτονίες
αυτοκτονία,Noun,Genitive Singular,αυτοκτονία (Genitive Singular),αυτοκτονίας
αυτοκόλλητο,Noun,Plural,αυτοκόλλητο (Plural),αυτοκόλλητα
αυτοκόλλητο,Noun,Genitive Singular,αυτοκόλλητο (Genitive Singular),αυτοκόλλητου
αυτοκόλλητος,Adjective,Feminine,αυτοκόλλητος (Feminine),αυτοκόλλητη
αυτοκόλλητος,Adjective,Neuter,αυτοκόλλητος (Neuter),αυτοκόλλητο
αυτονομία,Noun,Plural,αυτονομία (Plural),αυτονομίες
αυτονομία,Noun,Genitive Singular,αυτονομία (Genitive Singular),αυτονομίας
αυτονόητος,Adjective,Feminine,αυτονόητος (Feminine),αυτονόητη
αυτονόητος,Adjective,Neuter,αυτονόητος (Neuter),αυτονόητο
αυτοπεποίθηση,Noun,Genitive Singular,αυτοπεποίθηση (Genitive Singular),αυτοπεποίθησης
αυτόματος,Adjective,Feminine,αυτόματος (Feminine),αυτόματη
αυτόματος,Adjective,Neuter,αυτόματος (Neuter),αυτόματο
αυτόνομος,Adjective,Feminine,αυτόνομος (Feminine),αυτόνομη
αυτόνομος,Adjective,Neuter,αυτόνομος (Neuter),αυτόνομο
αυχένας,Noun,Plural,αυχένας (Plural),αυχένες
αυχένας,Noun,Genitive Singular,αυχένας (Genitive Singular),αυχένα
αφέντης,Noun,Plural,αφέντης (Plural),αφεντάδες
αφέντης,Noun,Genitive Singular,αφέντης (Genitive Singular),αφέντη
αφή,Noun,Plural,αφή (Plural),αφές
αφή,Noun,Genitive Singular,αφή (Genitive Singular),αφής
αφήγηση,Noun,Plural,αφήγηση (Plural),αφηγήσεις
αφήγηση,Noun,Genitive Singular,αφήγηση (Genitive Singular),αφήγησης
αφήνω,Verb,Passive Participle,αφήνω (Passive Participle),αφημένος
αφήνω,Verb,Active Participle,αφήνω (Active Participle),αφήκει
αφίσα,Noun,Plural,αφίσα (Plural),αφίσες
αφίσα,Noun,Genitive Singular,αφίσα (Genitive Singular),αφίσας
αφαίρεση,Noun,Plural,αφαίρεση (Plural),αφαιρέσεις
αφαίρεση,Noun,Genitive Singular,αφαίρεση (Genitive Singular),αφαίρεσης
αφαιρώ,Verb,Active Participle,αφαιρώ (Active Participle),έχοντας αφαιρέσει
αφανής,Adjective,Feminine,αφανής (Feminine),αφανής
αφανής,Adjective,Neuter,αφανής (Neuter),αφανές
αφγανικός,Adjective,Feminine,αφγανικός (Feminine),αφγανική
αφγανικός,Adjective,Neuter,αφγανικός (Neuter),αφγανικό
αφελής,Adjective,Feminine,αφελής (Feminine),αφελής
αφελής,Adjective,Neuter,αφελής (Neuter),αφελές
αφεντικό,Noun,Plural,αφεντικό (Plural),αφεντικά
αφεντικό,Noun,Genitive Singular,αφεντικό (Genitive Singular),αφεντικού
αφετηρία,Noun,Plural,αφετηρία (Plural),αφετηρίες
αφετηρία,Noun,Genitive Singular,αφετηρία (Genitive Singular),αφετηρίας
αφηρημένος,Adjective,Feminine,αφηρημένος (Feminine),αφηρημένη
αφηρημένος,Adjective,Neuter,αφηρημένος (Neuter),αφηρημένο
αφθονία,Noun,Genitive Singular,αφθονία (Genitive Singular),αφθονίας
αφιέρωμα,Noun,Plural,αφιέρωμα (Plural),αφιερώματα
αφιέρωμα,Noun,Genitive Singular,αφιέρωμα (Genitive Singular),αφιερώματος
αφορμή,Noun,Plural,αφορμή (Plural),αφορμές
αφορμή,Noun,Genitive Singular,αφορμή (Genitive Singular),αφορμής
αφορολόγητος,Adjective,Feminine,αφορολόγητος (Feminine),αφορολόγητη
αφορολόγητος,Adjective,Neuter,αφορολόγητος (Neuter),αφορολόγητο
αφοσίωση,Noun,Plural,αφοσίωση (Plural),αφοσιώσεις
αφοσίωση,Noun,Genitive Singular,αφοσίωση (Genitive Singular),αφοσίωσης
